2021-11-24/23:02:55		 AQI_54.csv: File Transformed successfully!!
2021-11-24/23:02:55		 AQI_55.csv: File Transformed successfully!!
2021-11-24/23:02:55		 AQI_66.csv: File Transformed successfully!!
2021-11-24/23:02:55		 AQI_67.csv: File Transformed successfully!!
2021-11-24/23:02:55		 AQI_80.csv: File Transformed successfully!!
2021-11-24/23:02:55		 AQI_86.csv: File Transformed successfully!!
2021-11-24/23:02:55		 AQI_94.csv: File Transformed successfully!!
2021-11-24/23:02:55		 AQI_95.csv: File Transformed successfully!!
2021-11-24/23:02:55		 AQI_97.csv: File Transformed successfully!!
2021-11-24/23:02:55		 AQI_98.csv: File Transformed successfully!!
2021-11-24/23:02:55		 AQI_99.csv: File Transformed successfully!!
2021-11-24/23:35:34		 AQI_08.csv: File Transformed successfully!!
2021-11-24/23:35:34		 AQI_09.csv: File Transformed successfully!!
2021-11-24/23:35:34		 AQI_10.csv: File Transformed successfully!!
2021-11-24/23:35:34		 AQI_11.csv: File Transformed successfully!!
2021-11-24/23:35:34		 AQI_12.csv: File Transformed successfully!!
2021-11-24/23:35:34		 AQI_14.csv: File Transformed successfully!!
2021-11-24/23:35:34		 AQI_15.csv: File Transformed successfully!!
2021-11-24/23:35:34		 AQI_26.csv: File Transformed successfully!!
2021-11-24/23:35:34		 AQI_27.csv: File Transformed successfully!!
2021-11-24/23:35:34		 AQI_35.csv: File Transformed successfully!!
2021-11-24/23:35:34		 AQI_36.csv: File Transformed successfully!!
2021-11-24/23:35:34		 AQI_38.csv: File Transformed successfully!!
2021-11-24/23:35:34		 AQI_39.csv: File Transformed successfully!!
2021-11-24/23:35:34		 AQI_40.csv: File Transformed successfully!!
2021-11-24/23:35:34		 AQI_41.csv: File Transformed successfully!!
2021-11-24/23:35:34		 AQI_42.csv: File Transformed successfully!!
2021-11-24/23:35:34		 AQI_47.csv: File Transformed successfully!!
2021-11-24/23:35:34		 AQI_50.csv: File Transformed successfully!!
2021-11-24/23:35:34		 AQI_51.csv: File Transformed successfully!!
2021-11-24/23:35:34		 AQI_52.csv: File Transformed successfully!!
2021-11-24/23:35:34		 AQI_53.csv: File Transformed successfully!!
2021-11-24/23:35:34		 AQI_54.csv: File Transformed successfully!!
2021-11-24/23:35:34		 AQI_55.csv: File Transformed successfully!!
2021-11-24/23:35:34		 AQI_66.csv: File Transformed successfully!!
2021-11-24/23:35:34		 AQI_67.csv: File Transformed successfully!!
2021-11-24/23:35:34		 AQI_80.csv: File Transformed successfully!!
2021-11-24/23:35:34		 AQI_86.csv: File Transformed successfully!!
2021-11-24/23:35:34		 AQI_94.csv: File Transformed successfully!!
2021-11-24/23:35:34		 AQI_95.csv: File Transformed successfully!!
2021-11-24/23:35:34		 AQI_97.csv: File Transformed successfully!!
2021-11-24/23:35:34		 AQI_98.csv: File Transformed successfully!!
2021-11-24/23:35:34		 AQI_99.csv: File Transformed successfully!!
2021-11-24/23:36:52		 AQI_08.csv: File Transformed successfully!!
2021-11-24/23:36:52		 AQI_09.csv: File Transformed successfully!!
2021-11-24/23:36:52		 AQI_10.csv: File Transformed successfully!!
2021-11-24/23:36:52		 AQI_11.csv: File Transformed successfully!!
2021-11-24/23:36:52		 AQI_12.csv: File Transformed successfully!!
2021-11-24/23:36:52		 AQI_14.csv: File Transformed successfully!!
2021-11-24/23:36:52		 AQI_15.csv: File Transformed successfully!!
2021-11-24/23:36:52		 AQI_26.csv: File Transformed successfully!!
2021-11-24/23:36:52		 AQI_27.csv: File Transformed successfully!!
2021-11-24/23:36:52		 AQI_35.csv: File Transformed successfully!!
2021-11-24/23:36:52		 AQI_36.csv: File Transformed successfully!!
2021-11-24/23:36:52		 AQI_38.csv: File Transformed successfully!!
2021-11-24/23:36:52		 AQI_39.csv: File Transformed successfully!!
2021-11-24/23:36:52		 AQI_40.csv: File Transformed successfully!!
2021-11-24/23:36:52		 AQI_41.csv: File Transformed successfully!!
2021-11-24/23:36:52		 AQI_42.csv: File Transformed successfully!!
2021-11-24/23:36:52		 AQI_47.csv: File Transformed successfully!!
2021-11-24/23:36:52		 AQI_50.csv: File Transformed successfully!!
2021-11-24/23:36:53		 AQI_51.csv: File Transformed successfully!!
2021-11-24/23:36:53		 AQI_52.csv: File Transformed successfully!!
2021-11-24/23:36:53		 AQI_53.csv: File Transformed successfully!!
2021-11-24/23:36:53		 AQI_54.csv: File Transformed successfully!!
2021-11-24/23:36:53		 AQI_55.csv: File Transformed successfully!!
2021-11-24/23:36:53		 AQI_66.csv: File Transformed successfully!!
2021-11-24/23:36:53		 AQI_67.csv: File Transformed successfully!!
2021-11-24/23:36:53		 AQI_80.csv: File Transformed successfully!!
2021-11-24/23:36:53		 AQI_86.csv: File Transformed successfully!!
2021-11-24/23:36:53		 AQI_94.csv: File Transformed successfully!!
2021-11-24/23:36:53		 AQI_95.csv: File Transformed successfully!!
2021-11-24/23:36:53		 AQI_97.csv: File Transformed successfully!!
2021-11-24/23:36:53		 AQI_98.csv: File Transformed successfully!!
2021-11-24/23:36:53		 AQI_99.csv: File Transformed successfully!!
2021-11-24/23:40:37		 AQI_08.csv: File Transformed successfully!!
2021-11-24/23:40:37		 AQI_09.csv: File Transformed successfully!!
2021-11-24/23:40:37		 AQI_10.csv: File Transformed successfully!!
2021-11-24/23:40:37		 AQI_11.csv: File Transformed successfully!!
2021-11-24/23:40:37		 AQI_12.csv: File Transformed successfully!!
2021-11-24/23:40:37		 AQI_14.csv: File Transformed successfully!!
2021-11-24/23:40:37		 AQI_15.csv: File Transformed successfully!!
2021-11-24/23:40:37		 AQI_26.csv: File Transformed successfully!!
2021-11-24/23:40:37		 AQI_27.csv: File Transformed successfully!!
2021-11-24/23:40:37		 AQI_35.csv: File Transformed successfully!!
2021-11-24/23:40:38		 AQI_36.csv: File Transformed successfully!!
2021-11-24/23:40:38		 AQI_38.csv: File Transformed successfully!!
2021-11-24/23:40:38		 AQI_39.csv: File Transformed successfully!!
2021-11-24/23:40:38		 AQI_40.csv: File Transformed successfully!!
2021-11-24/23:40:38		 AQI_41.csv: File Transformed successfully!!
2021-11-24/23:40:38		 AQI_42.csv: File Transformed successfully!!
2021-11-24/23:40:38		 AQI_47.csv: File Transformed successfully!!
2021-11-24/23:40:38		 AQI_50.csv: File Transformed successfully!!
2021-11-24/23:40:38		 AQI_51.csv: File Transformed successfully!!
2021-11-24/23:40:38		 AQI_52.csv: File Transformed successfully!!
2021-11-24/23:40:38		 AQI_53.csv: File Transformed successfully!!
2021-11-24/23:40:38		 AQI_54.csv: File Transformed successfully!!
2021-11-24/23:40:38		 AQI_55.csv: File Transformed successfully!!
2021-11-24/23:40:38		 AQI_66.csv: File Transformed successfully!!
2021-11-24/23:40:38		 AQI_67.csv: File Transformed successfully!!
2021-11-24/23:40:38		 AQI_80.csv: File Transformed successfully!!
2021-11-24/23:40:38		 AQI_86.csv: File Transformed successfully!!
2021-11-24/23:40:38		 AQI_94.csv: File Transformed successfully!!
2021-11-24/23:40:38		 AQI_95.csv: File Transformed successfully!!
2021-11-24/23:40:38		 AQI_97.csv: File Transformed successfully!!
2021-11-24/23:40:38		 AQI_98.csv: File Transformed successfully!!
2021-11-24/23:40:38		 AQI_99.csv: File Transformed successfully!!
2021-11-25/10:56:43		 AQI_08.csv: File Transformed successfully!!
2021-11-25/10:56:43		 AQI_09.csv: File Transformed successfully!!
2021-11-25/10:56:43		 AQI_10.csv: File Transformed successfully!!
2021-11-25/10:56:44		 AQI_11.csv: File Transformed successfully!!
2021-11-25/10:56:44		 AQI_12.csv: File Transformed successfully!!
2021-11-25/10:56:44		 AQI_14.csv: File Transformed successfully!!
2021-11-25/10:56:44		 AQI_15.csv: File Transformed successfully!!
2021-11-25/10:56:44		 AQI_26.csv: File Transformed successfully!!
2021-11-25/10:56:44		 AQI_27.csv: File Transformed successfully!!
2021-11-25/10:56:44		 AQI_35.csv: File Transformed successfully!!
2021-11-25/10:56:44		 AQI_36.csv: File Transformed successfully!!
